timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685389681527,1,Sign Out-0,302,Found,Thread Group 1-23,,true,,333,534,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1685389681528,1,Sign Out-1,200,OK,Thread Group 1-23,text,true,,4922,525,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389681767,3,Login,200,OK,Thread Group 1-3,text,true,,5262,1609,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389681767,2,Login-0,302,Found,Thread Group 1-3,,true,,193,932,25,25,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1685389681769,1,Login-1,200,OK,Thread Group 1-3,text,true,,5069,677,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389681775,2,Main Catalog,200,OK,Thread Group 1-16,text,true,,4832,460,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389681890,2,Home,200,OK,Thread Group 1-20,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,1,0,0
1685389681890,1,Home-0,302,Found,Thread Group 1-20,,true,,146,195,25,25,http://localhost:8080/jpetstore,1,0,0
1685389681891,1,Home-1,200,OK,Thread Group 1-20,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,1,0,0
1685389681975,4,Sign Out,200,OK,Thread Group 1-24,text,true,,5255,1059,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389681975,2,Sign Out-0,302,Found,Thread Group 1-24,,true,,333,534,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,2,0,0
1685389681977,2,Sign Out-1,200,OK,Thread Group 1-24,text,true,,4922,525,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389682079,1,Main Catalog,200,OK,Thread Group 1-17,text,true,,4832,460,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389682080,3,Login,200,OK,Thread Group 1-4,text,true,,5262,1609,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389682080,2,Login-0,302,Found,Thread Group 1-4,,true,,193,932,25,25,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1685389682082,1,Login-1,200,OK,Thread Group 1-4,text,true,,5069,677,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389682245,3,Home,200,OK,Thread Group 1-21,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,1,0,0
1685389682245,1,Home-0,302,Found,Thread Group 1-21,,true,,146,195,25,25,http://localhost:8080/jpetstore,1,0,0
1685389682246,2,Home-1,200,OK,Thread Group 1-21,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1685389682249,1,Sign In,200,OK,Thread Group 1-12,text,true,,3923,597,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,1,0,0
1685389682250,12,Sign In,200,OK,Thread Group 1-13,text,true,,3925,597,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,12,0,0
1685389682272,3,Sign Out,200,OK,Thread Group 1-25,text,true,,5255,1059,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389682272,2,Sign Out-0,302,Found,Thread Group 1-25,,true,,333,534,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,2,0,0
1685389682274,1,Sign Out-1,200,OK,Thread Group 1-25,text,true,,4922,525,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389682515,1,Main Catalog,200,OK,Thread Group 1-18,text,true,,4832,460,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389682554,2,Sign In,200,OK,Thread Group 1-14,text,true,,3923,597,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,2,0,0
1685389682637,3,Dogs,200,OK,Thread Group 1-1,text,true,,4296,248,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,3,0,0
1685389682654,1,Home,200,OK,Thread Group 1-22,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,1,0,0
1685389682654,1,Home-0,302,Found,Thread Group 1-22,,true,,146,195,25,25,http://localhost:8080/jpetstore,1,0,0
1685389682655,0,Home-1,200,OK,Thread Group 1-22,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,0,0,0
1685389682757,4,Login,200,OK,Thread Group 1-5,text,true,,5262,1609,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389682757,2,Login-0,302,Found,Thread Group 1-5,,true,,193,932,25,25,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1685389682759,2,Login-1,200,OK,Thread Group 1-5,text,true,,5069,677,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389682861,2,Sign In,200,OK,Thread Group 1-15,text,true,,3923,597,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,2,0,0
1685389682863,7,Dogs,200,OK,Thread Group 1-2,text,true,,4296,248,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,7,0,0
1685389682888,7,Login,200,OK,Thread Group 1-6,text,true,,5262,1609,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
